66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:52.1 (1149967)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:52.1 (1241091)|EXECUTION_STARTED
22:39:52.1 (1266941)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:52.1 (1344125)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (2287583)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:52.1 (2341046)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:52.1 (2354677)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:52.1 (2365647)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:52.1 (2386126)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:52.1 (2403645)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (2417011)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:52.1 (2518128)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2146e829
22:39:52.1 (2546850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (2551288)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:52.1 (2655658)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x2146e829
22:39:52.1 (2662131)|STATEMENT_EXECUTE|[12]
22:39:52.1 (2663550)|STATEMENT_EXECUTE|[13]
22:39:52.1 (2812807)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:52.1 (2874521)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:52.1 (2905605)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:52.1 (2926971)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:52.1 (2951496)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:52.1 (2959033)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:52.1 (3157671)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:52.1 (3188917)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x2146e829
22:39:52.1 (3291359)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:52.1 (3397810)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:52.1 (3414269)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:52.1 (3427596)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:52.1 (3432459)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:52.1 (3472337)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:52.1 (3647673)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (17981 more) ...","ReplayId":"28144012","EventUuid":"64f33717-0514-4188-a (16 more) ...","CreatedDate":"2026-02-22T06:39:52.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5XgEAI"}|0x12ab0750
22:39:52.1 (3659673)|STATEMENT_EXECUTE|[16]
22:39:52.1 (3661048)|STATEMENT_EXECUTE|[17]
22:39:52.1 (3707915)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:52.1 (3726937)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:52.1 (3748497)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:52.1 (3756422)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (17981 more) ..."
22:39:52.1 (3758715)|STATEMENT_EXECUTE|[18]
22:39:52.1 (3760937)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:52.1 (3850820)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:52.1 (3871340)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:52.1 (3874225)|STATEMENT_EXECUTE|[1]
22:39:52.1 (3882219)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:52.1 (3886013)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:52.1 (3899133)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:52.1 (3902499)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:52.1 (3943037)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xdcc3e17
22:39:52.1 (3946880)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:52.1 (4063971)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x6618db4e
