66.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
22:39:52.1 (1014186)|USER_INFO|[EXTERNAL]|00536000001Ebgm|autoproc@00d36000000kq3ueac|(GMT-08:00) Pacific Standard Time (America/Los_Angeles)|GMT-08:00
22:39:52.1 (1099955)|EXECUTION_STARTED
22:39:52.1 (1121898)|CODE_UNIT_STARTED|[EXTERNAL]|01qbV000003N9GX|ServiceLogEventTrigger on Service_Log_Event trigger event AfterInsert|__sfdc_trigger/ServiceLogEventTrigger
22:39:52.1 (1193457)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (1929699)|HEAP_ALLOCATE|[95]|Bytes:3
22:39:52.1 (1981697)|HEAP_ALLOCATE|[100]|Bytes:152
22:39:52.1 (1995842)|HEAP_ALLOCATE|[417]|Bytes:408
22:39:52.1 (2007025)|HEAP_ALLOCATE|[430]|Bytes:408
22:39:52.1 (2029283)|HEAP_ALLOCATE|[317]|Bytes:6
22:39:52.1 (2048070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (2061039)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:52.1 (2165945)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x6f4c403d
22:39:52.1 (2198582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:39:52.1 (2203790)|VARIABLE_SCOPE_BEGIN|[12]|this|ServiceLogEventTrigger|true|false
22:39:52.1 (2217888)|VARIABLE_ASSIGNMENT|[12]|this|{}|0x6f4c403d
22:39:52.1 (2224372)|STATEMENT_EXECUTE|[12]
22:39:52.1 (2225368)|STATEMENT_EXECUTE|[13]
22:39:52.1 (2356531)|HEAP_ALLOCATE|[13]|Bytes:4
22:39:52.1 (2445279)|SYSTEM_CONSTRUCTOR_ENTRY|[13]|<init>()
22:39:52.1 (2477017)|SYSTEM_CONSTRUCTOR_EXIT|[13]|<init>()
22:39:52.1 (2499371)|HEAP_ALLOCATE|[68]|Bytes:5
22:39:52.1 (2524781)|HEAP_ALLOCATE|[74]|Bytes:5
22:39:52.1 (2531772)|HEAP_ALLOCATE|[82]|Bytes:7
22:39:52.1 (2721984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:52.1 (2752105)|VARIABLE_ASSIGNMENT|[13]|this.serviceLogs|[]|0x6f4c403d
22:39:52.1 (2857599)|SYSTEM_METHOD_ENTRY|[16]|List<Service_Log_Event__e>.iterator()
22:39:52.1 (2961449)|SYSTEM_METHOD_EXIT|[16]|List<Service_Log_Event__e>.iterator()
22:39:52.1 (2978167)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:52.1 (2991879)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:52.1 (2996302)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:52.1 (3033302)|VARIABLE_SCOPE_BEGIN|[16]|evt|Service_Log_Event__e|true|false
22:39:52.1 (3188656)|VARIABLE_ASSIGNMENT|[16]|evt|{"CreatedById":"00536000006CafHAAS","Payload__c":"{\"attributes\":{\"type (3327 more) ...","ReplayId":"28144006","EventUuid":"f9dcf342-6557-45f8-a (16 more) ...","CreatedDate":"2026-02-22T06:39:51.000Z","OwnerId__c":"00536000006CafHAAS","Id":"e0Fxx000001u5XaEAI"}|0x74519813
22:39:52.1 (3195599)|STATEMENT_EXECUTE|[16]
22:39:52.1 (3197056)|STATEMENT_EXECUTE|[17]
22:39:52.1 (3241332)|SYSTEM_METHOD_ENTRY|[17]|String.isNotBlank(String)
22:39:52.1 (3265070)|SYSTEM_METHOD_EXIT|[17]|String.isNotBlank(String)
22:39:52.1 (3293650)|VARIABLE_SCOPE_BEGIN|[17]|log|String|false|false
22:39:52.1 (3304927)|VARIABLE_ASSIGNMENT|[17]|log|"{\"attributes\":{\"type (3327 more) ..."
22:39:52.1 (3308168)|STATEMENT_EXECUTE|[18]
22:39:52.1 (3311157)|HEAP_ALLOCATE|[18]|Bytes:40
22:39:52.1 (3428886)|HEAP_ALLOCATE|[18]|Bytes:33
22:39:52.1 (3451991)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
22:39:52.1 (3454972)|STATEMENT_EXECUTE|[1]
22:39:52.1 (3464099)|SYSTEM_METHOD_EXIT|[1]|Type
22:39:52.1 (3468069)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:52.1 (3483356)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:52.1 (3488073)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
22:39:52.1 (3534443)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x638c136f
22:39:52.1 (3538478)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
22:39:52.1 (3647994)|VARIABLE_ASSIGNMENT|[4]|apextype|"Service_Log__c"|0x2a8f4c4a
22:39:52.1 (5915040)|HEAP_ALLOCATE|[18]|Bytes:8
22:39:52.1 (5970396)|HEAP_ALLOCATE|[18]|Bytes:24
22:39:52.1 (5984447)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
22:39:52.1 (5988210)|STATEMENT_EXECUTE|[1]
22:39:52.1 (5993749)|SYSTEM_METHOD_EXIT|[1]|JSON
22:39:52.1 (6005035)|METHOD_ENTRY|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:52.1 (6838794)|METHOD_EXIT|[18]||System.JSON.deserializeStrict(String, System.Type)
22:39:52.1 (6858500)|VARIABLE_SCOPE_BEGIN|[18]|newLog|Service_Log__c|true|false
22:39:52.1 (6945061)|VARIABLE_ASSIGNMENT|[18]|newLog|{"Service_Name__c":"Google Maps - Get La (5 more) ...","Method__c":"GET","Direction__c":"Outbound","Service_Start__c":"2026-02-22T06:39:51.800Z","Category__c":"Google Maps","RequestBody__c":"","ResponseBody__c":"{\n   \"results\" : \n   (2445 more) ...","attributes":{"type":"Service_Log__c"},"Service_End__c":"2026-02-22T06:39:51.850Z","RequestURI__c":"callout:GoogleMaps/g (111 more) ...","ResponseStatusCode__c":200.0,"ResponseHeaders__c":"(Alt-Svc, Server, Ac (143 more) ..."}|0x209dd84b
22:39:52.1 (6955166)|STATEMENT_EXECUTE|[19]
22:39:52.1 (6992789)|HEAP_ALLOCATE|[19]|Bytes:4
22:39:52.1 (7136727)|HEAP_ALLOCATE|[19]|Bytes:-4
22:39:52.1 (7174408)|VARIABLE_ASSIGNMENT|[19]|this.OwnerId|"00536000006CafHAAS"|0x209dd84b
22:39:52.1 (7178507)|STATEMENT_EXECUTE|[20]
22:39:52.1 (7222568)|SYSTEM_METHOD_ENTRY|[20]|List<Service_Log__c>.add(Object)
22:39:52.1 (7245066)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
22:39:52.1 (7250625)|SYSTEM_METHOD_EXIT|[20]|List<Service_Log__c>.add(Object)
22:39:52.1 (7258762)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
22:39:52.1 (7267332)|HEAP_ALLOCATE|[16]|Bytes:5
22:39:52.1 (7271238)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
22:39:52.1 (7279976)|VARIABLE_ASSIGNMENT|[16]|evt|null|
